experiment,strategy,ann_return,max_drawdown,sharpe,total_return,volatility
fusion_default,black_litterman,0.255124816244094,-0.19508966204481826,0.7516998416420743,0.27681388455876554,0.2861844639665719
fusion_default,equal_weight,0.20343545234905092,-0.18779509937750172,0.557499247049914,0.2203556755000453,0.29315815799553574
fusion_default,markowitz,0.14362675044295692,-0.22252978395102374,0.3165804260848392,0.1552573943018758,0.32733151485236284
fusion_default,spy_benchmark,0.09909670610854526,-0.1469696219611959,0.30724255154813324,0.10736992483516183,0.1923454476301179
no_news,black_litterman,0.2561240968684373,-0.199933059887889,0.7616862032668653,0.27790711049991534,0.28374427151428366
no_news,equal_weight,0.20343545234905092,-0.18779509937750172,0.557499247049914,0.2203556755000453,0.29315815799553574
no_news,markowitz,0.14362675044295692,-0.22252978395102374,0.3165804260848392,0.1552573943018758,0.32733151485236284
no_news,spy_benchmark,0.09909670610854526,-0.1469696219611959,0.30724255154813324,0.10736992483516183,0.1923454476301179
weak_fusion,black_litterman,0.2543184011855313,-0.19508966204481815,0.748659593094064,0.27593170388777644,0.28626949171892013
weak_fusion,equal_weight,0.20343545234905092,-0.18779509937750172,0.557499247049914,0.2203556755000453,0.29315815799553574
weak_fusion,markowitz,0.14362675044295692,-0.22252978395102374,0.3165804260848392,0.1552573943018758,0.32733151485236284
weak_fusion,spy_benchmark,0.09909670610854526,-0.1469696219611959,0.30724255154813324,0.10736992483516183,0.1923454476301179
